,0
84,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143062
85,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=142939
86,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143088
87,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143061
88,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143078
89,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143074
90,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143082
91,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143080
92,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=142943
93,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143086
94,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143075
95,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143083
96,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=143058
97,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=125502
98,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126977
99,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126730
100,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127000
101,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126819
102,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127029
103,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126989
104,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126995
105,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126997
106,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126996
107,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126752
108,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126599
109,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126936
110,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126710
111,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126990
112,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126650
113,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=127001
114,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126699
115,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=126648
116,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=172194
117,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=171405
118,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=172486
119,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=172547
120,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=172564
121,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=172470
122,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=172007
123,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=172147
124,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169067
125,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169260
126,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169228
127,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169223
128,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169323
129,http://juba.scba.gov.ar/VerTextoCompleto.aspx?idFallo=169092
130,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-18/B73370.doc
131,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-20/Q71129.doc
132,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/02-25/Q73308.doc
133,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-27/A70357.doc
134,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-29/B73540.doc
135,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-08/B73571.doc
136,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-22/A73604.doc
137,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/02-19/B73292.doc
138,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-27/B66884.doc
139,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-26/A73475.doc
140,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-15/B73522.doc
141,http://www.scba.gov.ar/falloscompl/SCBA/2015/06-10/L104679.doc
142,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-04/A73332.doc
143,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-27/c118315.doc
144,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-11/A73294.doc
145,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-11/Q73450.doc
146,http://www.scba.gov.ar/falloscompl/SCBA/2015/06-03/B60765.doc
147,http://www.scba.gov.ar/falloscompl/SCBA/2015/06-17/L117494.doc
148,http://www.scba.gov.ar/falloscompl/SCBA/2015/06-03/L117728.doc
149,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-22/B65253.doc
150,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-04/Q73511.doc
151,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-04/A73307.doc
152,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/05-06/I72269.doc
153,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-13/L116830.doc
154,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-08/B73564.doc
155,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-15/B73517.doc
156,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-13/L111418.doc
157,http://www.scba.gov.ar/falloscompl/SCBA/2015/06-03/I2730.doc
158,http://www.scba.gov.ar/falloscompl/SCBA/2015/06-17/b71018.doc
159,http://www.scba.gov.ar/falloscompl/SCBA/2015/04-29/c103176.doc
160,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-08/A72408.doc
161,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-08/I73429.doc
162,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/06-17/B72999.doc
163,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-13/L116981.doc
164,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-15/B73596.doc
165,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-20/L117901.doc
166,http://www.scba.gov.ar/falloscompl/SCBA/2015/06-24/L109467.doc
167,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-27/L117458.doc
168,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-20/L117887.doc
169,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/05-20/A73549.doc
170,http://www.scba.gov.ar/falloscompl/SCBA/2015/03-11/B58464.doc
171,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-11/B73487.doc
172,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/05-20/A73637.doc
173,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/03-18/Q73462.doc
174,http://www.scba.gov.ar/falloscompl/SCBA/Inter/2015/04-15/Q73458.doc
175,http://www.scba.gov.ar/falloscompl/SCBA/2015/05-13/c117286.doc
